,synonyms,analysis
106,Синонимы:Дыхательный тест с 13С-меченной мочевиной. 13 UBT; 13C-UBT.,"13С-уреазный дыхательный тест (13С-УДТ, 13C-Urea Breath test, UBT). Выявление инфекции Helicobacter pylori"
107,Синонимы:Антитела IgA к хеликобактеру; Антитела к хеликобактер пилори IgA; IgA-антитела к Helicobacter pylori.,Helicobacter Pylori IgA (антитела класса IgА к Helicobacter pylori)
108,"Синонимы:Анализ крови на антитела IgM к хеликобактеру; Хеликобактер пилори, иммуноглобулины М.",Helicobacter Pylori IgM (антитела класса IgM к Helicobacter pylori)
109,"Синонимы:Анализ крови на IgG антитела к хеликобактеру; Хеликобактер пилори, иммуноглобулины класса G, IgG-антитела.",Anti-H. pylori IgG (антитела класса IgG к Helicobacter pylori)
110,Синонимы:Посев на микоплазмоз с антибиотикограммой.,Посев на микоплазму хоминис  (Mycoplasma hominis) и определение чувствительности к антимикробным препаратам
111,Синонимы:Анализ мочи на микоплазму хоминис.,"Микоплазма, определение ДНК (Mycoplasma hominis, DNA) в моче"
112,"Синонимы:Анализ секрета простаты, эякулята на микуоплазму хоминис.","Микоплазма, определение ДНК (Mycoplasma hominis, DNA) в секрете простаты, эякуляте"
113,Синонимы:Соскоб эпителиальных клеток УГТ на микоплазму хоминис.,"Микоплазма, определение ДНК (Mycoplasma hominis, DNA) в соскобе эпителиальных клеток урогенитального тракта"
114,Синонимы:Анализ урогенитального соскоба на ДНК микоплазмы; Микоплазмоз.,"Микоплазма, определение ДНК (Mycoplasma genitalium, DNA) в соскобе эпителиальных клеток урогенитального тракта"
115,"Синонимы:Посев на уреаплазмы, определение чувствительности к антибиотикам.",Посев на уреаплазмы (Ureaplasma spp.) и определение чувствительности к антимикробным препаратам
116,Синонимы:Анализ мочи на уреаплазму; Определение ДНК Ureaplasma parvum в урогенитальном соскобе.,"Уреаплазма, определение ДНК (Ureaplasma parvum, DNA) в соскобе эпителиальных клеток урогенитального тракта"
117,Синонимы:Анализ мочи на уреаплазму; Определение ДНК Ureaplasma parvum в моче.,"Уреаплазма, определение ДНК (Ureaplasma parvum, DNA) в моче"
118,"Синонимы:Определение ДНК уреаплазмы в урогенитальном соскобе; ДНК уреаплазмы в урогенитальном соскобе, ПЦР.","Уреаплазма, определение ДНК (Ureaplasma urealyticum, DNA) в соскобе эпителиальных клеток урогенитального тракта"
119,"Синонимы:Возбудитель уреаплазмоза, уреаплазма. Ureaplasma parvum, Ureaplasma urealyticum, DNA.","Уреаплазма, определение ДНК (Ureaplasma urealyticum+parvum, DNA) в соскобе эпителиальных клеток урогенитального тракта"
120,Синонимы:Анализ крови на антитела класса IgG к Chlamydia trachomatis; IgG антитела к возбудителю хламидиоза.,Anti-Chlamydia tr.-IgG (Антитела класса IgG к Chlamydia trachomatis)
121,Синонимы:Анализ спинномозговой жидкости на хламидии.,"Хламидии, определение ДНК (Chlamydia trachomatis, DNA) в спинномозговой жидкости"
122,"Синонимы:Анализ секрета простаты, эякулятеа на хламидии.","Хламидии, определение ДНК (Chlamydia trachomatis, DNA) в секрете простаты, эякуляте"
123,"Синонимы:Анализ урогенитального соскоба на ДНК хламидий; Хламидия, возбудитель хламидиоза; Хламидия трахоматис.","Хламидии, определение ДНК (Chlamydia trachomatis, DNA) в соскобе эпителиальных клеток урогенитального тракта"
124,Синонимы:Анализ синовиальной жидкости на хламидии.,"Хламидии, определение ДНК (Chlamydia trachomatis, DNA) в синовиальной жидкости"
125,Синонимы:Анализ соскоба со слизистой ротоглотки на хламидии.,"Хламидии, определение ДНК (Chlamydia trachomatis, DNA) в соскобе эпителиальных клеток ротоглотки"
126,Синонимы:Анализ соскоба эпителиальных клеток слизистой прямой кишки на хламидии.,"Хламидии, определение ДНК (Chlamydia trachomatis, DNA) в соскобе эпителиальных клеток слизистой прямой кишки"
127,"Синонимы:Хламидия, возбудитель хламидиоза; Хламидия трахоматис, ДНК, моча.","Хламидии, определение ДНК (Chlamydia trachomatis, DNA) в моче"
128,Синонимы:Анализ соскоба со слизистой конъюнктивы на хламидии.,"Хламидии, определение ДНК (Chlamydia trachomatis, DNA)  в соскобе эпителиальных клеток конъюнктивы"
129,Синонимы:Анализ выпота на хламидии.,"Хламидии, определение ДНК (Chlamydia trachomatis, DNA) в выпоте"
130,"Синонимы:Урогенитальный мазок на антиген хламидии; Хламидия, антигенный тест.","Хламидия (Chlamydia trachomatis), антигенный тест, мазки из урогенитального тракта"
131,Синонимы:Анализ крови на антитела к хламидофиле; Хламидия пневмонии IgG.,Anti-Chlamydophila pneumonia-IgG (антитела класса IgG к Chlamydophila pneumonia)
132,Синонимы:Посев на L. monocyogenes и АЧ; Посев на листериоз.,Посев на листерии (Listeria monocytogenes) с определением чувствительности к антимикробным препаратам (Listeria monocytogenes Culture. Bacteria Identification and Antibiotic Susceptibility testing)
133,Синонимы:Streptococcus group В (S. agalactiae) Culture; Antibiotic Susceptibility Testing.,"Посев на бета-гемолитический стрептококк группы В (Streptococcus group В, S. agalactiae) и определение чувствительности к антимикробным препаратам"
134,Синонимы:Streptococcus group В (S. agalactiae) Culture.,"Посев на бета-гемолитический стрептококк группы В (Streptococcus group В, S. agalactiae)"
135,Синонимы:Streptococcus group A (S. pyogenes) Culture. Antibiotic Susceptibility Testing.,"Посев на бета-гемолитический стрептококк группы А (Streptococcusgroup A, S.pyogenes) и определение чувствительности к антимикробным препаратам"
136,Синонимы:Streptococcus group A (S. pyogenes) Culture.,"Посев на бета-гемолитический стрептококк группы А (Streptococcus group A, S.pyogenes)"
137,Синонимы:Анализ крови на пневмококк; Определение ДНК Streptococcus pneumoniae в плазме крови.,"Пневмококк, определение ДНК в плазме крови (Streptococcus pneumoniae, DNA)"
138,Синонимы:ДНК пневмококка в соскобе эпителиальных клеток ротоглотки.,"Пневмококк, определение ДНК в соскобе эпителиальных клеток ротоглотки (Streptococcus pneumoniae, DNA)"
139,Синонимы:Анализ слюны на пневмококк; ДНК пневмококка в слюне.,"Пневмококк, определение ДНК в слюне (Streptococcus pneumoniae, DNA)"
140,"Синонимы:Анализ мочи на пневмококк; S. pneumoniae, антиген в моче.","Пневмококк (Streptococcus pneumoniae), антигенный тест, моча"
141,"Синонимы:Менингококк, посев с определением чувствительности к антибиотикам; Микробиологическое исследование носоглоточной слизи на eisseria meningitidis с определением чувствительности к антимикробным препаратам.",Посев на менингококк (Neisseria meningitidis) и определение чувствительности к антимикробным препаратам
142,Синонимы:Staphylococcus aureus Culture. Bacteria Identification.,Посев на золотистый стафилококк (Staphylococcus aureus)
143,"Синонимы:Staphylococcus aureus Culture. Bacteria Identification. Antibiotic Susceptibility, enlarged testing.",Посев на золотистый стафилококк (S. aureus) и определение чувствительности к расширенному спектру антимикробных препаратов
144,Синонимы:Staphylococcus aureus Culture. Bacteria Identification. Antibiotic Susceptibility and Bacteriophage Efficiency testing.,Посев на золотистый стафилококк (S. aureus) и определение чувствительности к антимикробным препаратам и бактериофагам
145,Синонимы:Специфические иммуноглобулины класса IgА к бактериям Y. pseudotuberculosis и Y. enterocolitica; Антитела к возбудителям псевдотуберкулеза и иерсиниоза (Yersinia pseudotuberculosis и Yersinia enterocolitica) IgA; Антитела IgА к иерсинеозу; Иерсиниоз (антитела класса IgA).,"Антитела класса IgA к антигенам Yersinia enterocolitica и Yersinia pseudotuberculosis (Аnti-Yersinia enterocolitica, Аnti-Yersinia pseudotuberculosis, IgA)"
146,Синонимы:Специфические иммуноглобулины класса IgG к бактериям Y. pseudotuberculosis и Y. enterocolitica; Антитела к возбудителям псевдотуберкулеза и иерсиниоза (Yersinia pseudotuberculosis и Yersinia enterocolitica) IgG; Антитела IgG к иерсинеозу; Иерсиниоз (антитела класса IgG).,"Антитела класса  IgG к антигенам Yersinia enterocolitica и Yersinia pseudotuberculosis (Аnti-Yersinia enterocolitica, Аnti-Yersinia pseudotuberculosis,  IgG)"
147,Синонимы:Анализ крови на бруцеллез; IgА к бруцелле; Иммуноглобулины IgA к антигенам Brucella.,"Бруцелла-IgA (Brucella, IgA)"
148,Синонимы:Посев на дрожжевые и плесневые грибы.,Микробиологическое исследование отделяемого нижних дыхательных путей на грибы (дрожжевые и мицелиальные) (Fungus identification in lower respiratory specimen by culture)
149,Синонимы:Анализ крови на аспергеллез.,Антиген Aspergillus (галактоманнан) в сыворотке крови (Aspergillus antigen (galactomannan) in serum)
150,Синонимы:Анализ на аспергеллез; Выявление галактоманнанового антигена Aspergillus в бронхоальвеолярном лаваже.,Антиген Aspergillus (галактоманнан) в бронхо-альвеолярном лаваже (Aspergillus antigen (galactomannan) in bronchoalveolar lavage)
151,Синонимы:Анализ кожи и ногтей на грибок; Грибковая инфекция ногтей и кожи.,"Микроскопическое исследование на патогенные грибы (Detection of pathogenic fungi, Microscopic Examination)"
152,Синонимы:Анализ кожи и ногтей на грибок; Грибковая инфекция ногтей и кожи.,Микроскопическое исследование и посев на патогенные грибы (Pathogenic Fungi Culture and Microscopic Examination)
153,Синонимы:ДНК кандиды в соскобе эпителиальных клеток ротоглотки; Соскоб эпителиальных клеток ротоглотки на кандиду.,"Кандида, определение ДНК (Candida albicans, DNA) в соскобе эпителиальных клеток ротоглотки"
154,Синонимы:ДНК кандиды в соскобе клеток УГТ; Соскоб эпителиальных клеток УГТ на кандиду.,"Кандида, определение ДНК (Candida albicans, DNA) в соскобе эпителиальных клеток урогенитального тракта"
155,Синонимы:ДНК кандиды в выпоте; Анализ выпота на кандиду.,"Кандида, определение ДНК (Candida albicans, DNA) в выпоте"
156,Синонимы:ДНК кандиды в соскобе эпителиальных клеток кожи; Соскоб эпителиальных клеток кожи на кандиду.,"Кандида, определение ДНК (Candida albicans, DNA) в соскобе эпителиальных клеток кожи"
157,Синонимы:ДНК кандиды в моче; Анализ мочи на кандиду.,"Кандида, определение ДНК (Candida albicans, DNA) в моче"
158,Синонимы:ДНК кандиды в соскобе эпителиальных клеток слизистой прямой кишки; Соскоб эпителиальных клеток слизистой прямой кишки на кандиду.,"Кандида, определение ДНК (Candida albicans, DNA) в соскобе эпителиальных клеток слизистой прямой кишки"
159,"Синонимы:ДНК кандиды в секрете простаты, эякуляте; Анализ секрета простаты, эякулята на кандиду.","Кандида, определение ДНК (Candida albicans, DNA) в секрете простаты, эякуляте"
160,Синонимы:ДНК кандиды в слюне; Анализ слюны на кандиду.,"Кандида, определение ДНК (Candida albicans, DNA) в слюне"
161,Синонимы:Анализа фекалий на простейших.,Анализ кала на простейшие (PRO stool)
162,Синонимы:Анализ кала на простейших.,"Скрининговое исследование на выявление возбудителей кишечных паразитозов (лямблиоза, амебиаза, бластоцистной инвазии, криптоспоридиоза, изоспороза) методом ПЦР, тест-система Прото-скрин (Screening  of intestinal parasitoses. PROTO-screen assay)"
163,Синонимы:Анализ крови на лямблии; Суммарные антитела к возбудителю лямблиоза; АТ общие к АГ лямблий.,"Антитела к антигенам лямблий суммарные IgA, IgM, IgG (анти-Lamblia intestinalis IgA, IgM, IgG суммарные; anti-Giardia Lamblia IgA, IgM, IgG total)"
164,Синонимы:Антиген возбудителя лямблиоза; Анализ кала на антигены лямблий.,"Лямблии (Giardia liamblia), диарейный синдром, антигенный тест (Giardia liamblia. One step rapid immunосhromotographic assay)"
165,Синонимы:Анализ крови на антитела к токсоплазме; IgG антитела к токсоплазме гондии; Токсоплазмоз IgG.,Anti-Toxo-IgG (Антитела класса IgG к Тoxoplasma gondii)
166,Синонимы:Анализ крови на антитела к токсоплазме; IgM антитела к токсоплазме; Токсоплазмоз IgM.,Anti-Toxo-IgM (Антитела класса IgM к Тoxoplasma gondii)
167,"Синонимы:Анализ выпота на токсоплазму; Токсоплазмоз, ДНК возбудителя в выпоте.","Токсоплазма, определение ДНК (Toxoplasma gondii, DNA) в выпоте"
168,"Синонимы:Анализ сыворотки крови на токсоплазму; Токсоплазмоз, ДНК возбудителя в сыворотке крови.","Токсоплазма, определение ДНК (Toxoplasma gondii, DNA) в сыворотке крови"
169,"Синонимы:Анализ спинномозговой жидкости на токсоплазму; Токсоплазмоз, ДНКвозбудителяв спинномозговой жидкости.","Токсоплазма, определение ДНК (Toxoplasma gondii, DNA) в спинномозговой жидкости"
170,"Синонимы:Определение ДНК трихомонады в урогенитальном соскобе; ДНК трихомонады в урогенитальном соскобе, ПЦР.","Трихомонада, определение ДНК (Trichomonas vaginalis, DNA) в соскобе эпителиальных клеток урогенитального тракта"
171,Синонимы:Кал на яйца глист; Анализ кала на яйца глистов. Ova and Parasite Exam; O&P; Stool O & P test.,"Анализ кала на яйца гельминтов (яйца глистов, helminth eggs)"
172,Синонимы:Анализ кала на гельминтов методом ПЦР.,"Скрининговое ПЦР-исследование возбудителей гельминтозов (энтеробиоза, аскаридоза, дифиллоботриоза, описторхоза, тениоза), тест-система Гельмо-скрин (Screening PCR of pathogens of helminthiasis.  Gelmo-screen assay)"
173,Синонимы:Анализ крови на анизакидоз; Анти-Anisakis-IgG; Антитела класса G к анизакиде.,"Антитела к возбудителю анизакидоза (нематодам рода Anisakis), IgG (Anisakis, IgG)"
174,Синонимы:Анализ крови на клонорхоз.,"Антитела к возбудителю клонорхоза, IgG (Clonorchis sinensis, IgG)"
175,Синонимы:Enterobius Vermicularis; Oхуuris Vermicularis; Enterobiosis; Oxyuriasis.,"Анализ на энтеробиоз (яйца остриц, enterobiasis), шпатель"
176,"Синонимы:Анализ крови на антитела к аскариде; Аскарида (Ascaris lumbricoides), антитела IgG.",Антитела к аскаридам IgG (Anti-Ascaris lumbricoides IgG)
177,Синонимы:Анализ крови на антитела к токсокарам; IgG антитела к антигенам токсокар.,Антитела класса IgG к антигенам токсокар (anti-Toxocara IgG)
178,Синонимы:Анализа крови на описторха; Антиописторхис-IgG; Антитела класса G к антигенам кошачьей двуустки; IgG антитела к возбудителю описторхоза; Анти-Описторхис-IgG.,"Anti-Opisthorchis felineus IgG (антитела класса IgG к антигенам кошачьей двуустки, Opisthorchis felineus)"
179,Синонимы:Анализ крови на антитела к эхинококку.,"Анти-Эхинококк-IgG (антитела класса IgG к антигенам эхинококка, anti-E. granulosus)"
180,Синонимы:Жидкостная цитология ТАБ щитовидной железы с описанием по системе Бетесда. Bethesda System for Reporting Thyroid Cytopathology 2017.,"Цитологическое исследование пунктатов щитовидной железы с описанием по терминологической классификации Бетесда (The Bethesda System 2017 (TBS) for Reporting Thyroid Cytopathology (TBSRTC), Fine-Needle Aspiration (FNA))"
181,"Синонимы:Жидкостная цитология биоматериала шейки матки (окрашивание по Папаниколау, технология ThinPrep®).",Жидкостная цитология. Цитологическое исследование биоматериала шейки матки (окрашивание по Папаниколау)
182,Синонимы:Патолого-анатомическое исследование биопсийного (операционного) материала.,Патологоанатомическое исследование операционного материала (более 6 парафиновых блоков) (Pathology examination of surgical material (more than 6 parafin embeddeid tissue blocks))
183,"Синонимы:Морфологическое исследование для верификации хронических заболеваний верхнего отдела ЖКТ; Morphological, histological and histochemical analysis of digestive tract.","Комплексная гистохимическая диагностика заболеваний верхних отделов ЖКТ (пищевода, желудка, двенадцатиперстной кишки) (Complex morphological and histochemical assessment of diseases upper digestive system)"
184,Синонимы:Histochemical study of biopsy and surgical material.,Гистохимическое исследование биопсийного и операционного материала (Histochemical study of biopsy and surgical material)
185,"Синонимы:Молекулярно-генетическое исследование патоморфологического материала щитовидной железы (KRAS, NRAS, HRAS, TERT, BRAF). Mutations of KRAS, NRAS, HRAS, BRAF, TERT genes, thyroid surgical material.","Молекулярно-генетическое исследование операционного материала щитовидной железы для определения мутаций генов KRAS, NRAS, HRAS, BRAF, TERT (Molecular genetic study of thyroid surgical material to determine mutations of KRAS, NRAS, HRAS, BRAF, TERT genes)"
186,Синонимы:Молекулярно‑генетическое исследование и консультативный просмотр цитологического материала щитовидной железы.,Консультативный просмотр и молекулярно-генетическое исследование щитовидной железы
187,Синонимы:Мультифокальная биопсия простаты.,Мультифокальная биопсия предстательной железы (PG Prostate gland multifocal biopsy)
188,Синонимы:Скрининговое исследование абортивного материала.,"Комплексное исследование абортивного материала, скрининг (Study of miscarriage tissues, screening)"
189,Синонимы:Расширенное исследование абортивного материала.,"Комплексное исследование абортивного материала, расширенное (Comprehensive study of miscarriage tissues)"
190,Синонимы:Патолого-анатомическое исследование биопсийного (операционного) материала.,Патологоанатомическое исследование операционного материала (до 6 парафиновых блоков) (Pathology examination of surgical material (up to 6 parafin embeddeid tissue blocks))
191,"Синонимы:Молекулярно-генетическое исследование мутаций в генах BRAF, NRAS.","Молекулярно-генетическое исследование при меланоме (BRAF, NRAS) (Complex detection of mutations in melanoma (BRAF, NRAS))"
192,"Синонимы:Молекулярно-генетическое исследование мутаций в генах c-KIT, PDGFRa.","Молекулярно-генетическое исследование при GIST-опухолях (c-KIT, PDGFRa) (Complex detection of mutations in GIST (c-KIT, PDGFRa))"
193,Синонимы:Молекулярно-генетическое исследование гена HER2.,"Молекулярно-генетическое исследование при раке желудка (HER2 амплификация, MSI) (Complex detection of mutations in gastric cancer (HER2, MSI))"
194,"Синонимы:Молекулярно-генетическое исследование мутаций в генах BRAF, KRAS, NRAS.","Молекулярно-генетическое исследование при колоректальном раке (MSI, BRAF, KRAS, NRAS) (Complex detection of mutations in colorectal cancer (MSI, BRAF, KRAS, NRAS))"
195,Синонимы:Молекулярно-генетическое исследование копийности генов при РМЖ.,"Молекулярно-генетическое исследование копийности генов при раке молочной железы (19 генов) (Complex detection of duplications and deletions of gene in breast cancer (HER2, TOP2A, MYD, ESR etc.))"
196,Синонимы:Молекулярно-генетическое исследование мутаций в гене POLE.,"Молекулярно-генетическое исследование при раке тела матки (POLE, MSI) (Complex detection of mutations in endometrial cancer (POLE, MSI))"
197,"Синонимы:Молекулярно-генетическое исследование генов EML4-ALK, ROS1, MET.","Выявление транслокаций EML4-ALK, ROS1 и мутаций в гене MET (Detection of ALK, ROS1 translocations and mutations in MET gene)"
198,"Синонимы:Исследование потери гетерозиготности генов PTEN, RB1, TP53, BRCA1/2.","Комплексное обследование потери гетерозиготности (гены PTEN, RB1, TP53, BRCA1/2) (Detection of deletions nad duplications PTEN, RB1, TP53, BRCA½ in prostate cancer)"
199,"Синонимы:Analysis of relative expression of BCR/ABL p190 gene, quantitative RQ PCR (real time); PCR (RQ-PCR) for BCR-ABL.","Анализ относительной экспрессии гена BCR/ABL p190, количественная RQ ПЦР (в реальном времени) (PCR analysis of the relative expression of the BCR/ABL p190 gene – quantitative RQ PCR (real time))"
200,Синонимы:Определение мутационного статуса генов вариабельных участков иммуноглобулинов; ПЦР анализ мутационного статуса генов вариабельных участков иммуноглобулинов (IGHV).,"Мутационный статус генов вариабельных участков иммуноглобулинов (IGHV), ПЦР (IGHV mutational status, PCR)"
201,"Синонимы:Гены HRR, HRR-тестирование.","Определение мутаций в генах BRCA1, BRCA2, ATM, CHEK2 методом секвенирования следующего поколения (NGS) в биопсийном материале и крови (BRCA1, BRCA2, ATM, CHEK2 genes analysis by Next-Generation Sequencing (NGS) in biopsy specimens and blood)"
202,"Синонимы:Молекулярно-генетическое исследование мутаций в генах EGFR, KRAS, BRAF, HER2.","Молекулярно-генетическое исследование рака легкого (мутации в генах EGFR, KRAS, BRAF, HER2) (Complex detection of mutations in lung cancer (EGFR, KRAS, BRAF, HER2))"
203,Синонимы:Determination of lp/19q translocation; Analysis for lp and 19q status.,Определение транслокации lp/19q (1p/19q translocation)
204,Синонимы:POLE mutations.,Мутации в гене POLE (Mutations in POLE gene)
205,Синонимы:IDH2 mutations.,Мутации в гене IDH2 (Mutations in IDH2 gene)
206,Синонимы:IDH1 mutations.,Мутации в гене IDH1 (Mutations in IDH1 gene)
207,Синонимы:PIK3CA mutation.,Мутация PIK3CA (Mutation in PIK3CA gene)
208,Синонимы:MGMT methylation detection.,Определение метилирования гена MGMT (Methylation status of MGMT gene)
209,Синонимы:TERT mutations; Mutations in TERT.,Мутации в гене TERT (Mutations in TERT gene)
210,Синонимы:MET gene mutations; MET mutations.,Мутации в гене MET (Mutations in MET gene)
211,Синонимы:Исследование на наследственный рак предстательной железы (ген HOXB13).,Наследственный рак простаты (ген HOXB13) (Hereditary prostate cancer (HOXB13 gene))
212,"Синонимы:Study of chromosomes in abortive material, screening.","Исследование хромосом в абортивном материале, скрининг (Chromosome analysis of miscarriage tissues, screen)"
213,"Синонимы:Study of chromosomes in abortive material, extended.","Исследование хромосом в абортивном материале, расширенное (Chromosome analysis of miscarriage tissues, complex study)"
214,Синонимы:Chromosomal microarray analysis; CMA; Chromosomal microarray.,Хромосомный микроматричный анализ (Chromosomal Microarray Analysis)
215,Синонимы:Chromosomal microarray analysis of abortive material; CMA; Chromosomal microarray of abortion material.,Хромосомный микроматричный анализ абортивного материала (CMA of miscarriage tissue)
216,Синонимы:НИПС; Неинвазивный тест; Неинвазивный скрининг; ДНК-скрининг анеуплоидий; Анализ фетальной фракции ДНК в крови матери; Пол плода.,Неинвазивный пренатальный тест (НИПТ Т21) (Noninvasive Prenatal Testing (NIPT trisomy 21))
217,Синонимы:НИПС; Неинвазивный тест; Неинвазивный скрининг; ДНК-скрининг анеуплоидий; Анализ фетальной фракции ДНК в крови матери; Пол плода.,Неинвазивный пренатальный тест (НИПТ базовый) (Non-Invasive Prenatal Test (base))
218,Синонимы:НИПС; Неинвазивный тест; Неинвазивный скрининг; ДНК-скрининг анеуплоидий; Анализ фетальной фракции ДНК в крови матери; Пол плода.,Неинвазивный пренатальный тест (НИПТ) – стандартная панель (Noninvasive Prenatal Testing (standart))
219,Синонимы:НИПС; Неинвазивный тест; Неинвазивный скрининг; ДНК-скрининг анеуплоидий; Анализ фетальной фракции ДНК в крови матери; Пол плода.,Неинвазивный пренатальный тест (НИПТ) – расширенная панель (Noninvasive Prenatal Testing (advanced))
220,Синонимы:Анализ букального соскоба на «2 genes» My Genetics.,Генетическая панель «2 genes» My Genetics
221,Синонимы:Анализ букального соскоба «Light» My Genetics.,Генетическая панель «Light» My Genetics
222,Синонимы:Анализ букального соскоба «MyNeuro» My Genetics.,Генетическая панель «MyNeuro» My Genetics
223,Синонимы:Анализ букального соскоба «MyWellness» My Genetics.,Генетическая панель «MyWellness» My Genetics
224,Синонимы:Анализ крови на молекулярно-генетическое исследование HLA-B27.,Молекулярно-генетическое исследование HLA-B27
225,"Синонимы:Диагностика наследственной формы панкреатита (PRSS1, SPINK1); Генетическая диагностика наследственного панкреатита в генах PRSS1, SPINK1.","Наследственные формы панкреатита (гены PRSS1, SPINK1) (Hereditary pancreatitis (PRSS1, SPINK1 genes))"
226,Синонимы:Анализ крови для диагностики MODY2 диабета.,"Диагностика MODY2 диабета (Maturity-onset diabetes of young, type 2, GCK, m.)"
227,Синонимы:Анализ крови для диагностики MODY3 диабета.,"Диагностика диабета MODY3 (ген HNK-1) (Maturity-onset diabetes of young, type 3, HNF1A, m.)"
228,Синонимы:Cytochrome P450 2C19 genotype.,Цитохром P450 2C19. Генотипирование по маркеру CYP2C19 (Cytochrome P450 2C19. Genotyping for the CYP2C19 marker)
229,Синонимы:Мутации гена дигидропиримидин дегидрогеназы (DPYD); Генотипирование DPYD.,Генотипирование дигидропиримидин дегидрогеназы (DPYD) (DPYD genotyping for toxicity of chemotherapy)
230,Синонимы: Y-хромосома фетальной фракции ДНК в крови матери; фрагменты Y-хромосомы плода в крови матери;,Определение пола плода. Выявление Y-хромосомы плода в крови матери (Y-chromosome of the fetus in the mother's blood)
231,"Синонимы:Эндотелиальная дистрофия роговицы Фукса (ДФ), ген TCF4.",Наследственная эндотелиальная дистрофия роговицы – дистрофия Фукса (ген TCF4) (Fuchs endothelial dystrophy (gene TCF4))
232,Синонимы:Экзом; Экзомное секвенирование; Секвенирование полного экзома.,Полноэкзомное секвенирование - поиск предположительно наследственного заболевания с интерпретацией (Whole Exome Sequencing)
233,Синонимы:HLA-увеиты.,"Комплексная диагностика увеитов (HLA-B27, HLA-B51, HLA-A29) (Diagnosis of uveitis (HLA-B27, HLA-B51, HLA-A29))"
234,"Синонимы:Атрофия зрительного нерва Лебера митохондриальной ДНК ч. м.; Атрофия зрительного нерва Лебера, поиск частых мутаций митохондриальной ДНК.","Диагностика атрофии зрительного нерва Лебера, ч. м. митохондриальной и ядерной ДНК (Leber Hereditary Optic Neuropathy, detection of frequent mutations of mitochondrial and nuclear DNA)"
235,Синонимы:Инактивация X; Инактивация X-хромосомы; Инактивация хромосомы X; Неслучайная инактивация. X-chromosome inactivation; X-inactivation; X chromosome inactivation (XCI).,Определение неравновесной лайонизациии Х-хромосомы при Х-сцепленных рецессивных заболеваниях у девочек (Non-Random X Chromosome Inactivation in Females)
236,Синонимы:Анализ крови на делеции и дупликации гена DMD при прогрессирующей мышечной дистрофии Дюшенна/Беккера.,"Прогрессирующая мышечная дистрофия Дюшенна/Беккера (ПМДД), делеции и дупликации гена DMD"
237,Синонимы:Анализ крови для проведения генодиагностики бета-талассемий и гемоглобинопатий.,Диагностика бета-талассемии и гемоглобинопатий (ген HBB)
238,Синонимы:Анализ крови для проведения генодиагностики TTR-амилоидоза.,Диагностика TTR-амилоидоза (ген TTR)
239,Синонимы:Анализ крови для проведения генодиагностики альфа-талассемии.,"Диагностика альфа-талассемии (гены HBA1, HBA2, HS-40)"
240,"Синонимы:Диагностика наследственной нейросенсорной тугоухости (гены GJB2, GJB3, GJB6, POU3F4, WFS1); ДНК-Диагностика нейросенсорной несиндромальной тугоухости (глухоты).","Диагностика наследственных форм нейросенсорной тугоухости (гены GJB2, GJB3, GJB6, POU3F4, WFS1) (Diagnosis of hereditary sensorineural hearing loss (GJB2, GJB3, GJB6, POU3F4, WFS1 genes))"
241,"Синонимы:Наследственная непереносимость фруктозы (фруктоземия), мутации гена ALDOB; Мутации в гене ALDOB (наследственная фруктоземия).",Фруктоземия (мутации в гене ALDOB) (Hereditary fructose intolerance (ALDOB gene))
242,"Синонимы:Гликогеноз II типа, ген GAA.",Болезнь Помпе (ген GAA) (Pompe disease (GAA gene))
243,Синонимы:Анализ ДНК для установления биологического родства для одного из родителей при родстве другого.,Срочное установление биологического родства для одного из родителей при бесспорном родстве другого (3 чел.)
244,Синонимы:Анализ ДНК для установления биологического родства для одного из родителей при родстве другого.,Установление биологического родства для одного из родителей при бесспорном родстве другого (3 чел.)
245,Синонимы:Анализ ДНК для установления биологического родства для одного из родителей при отсутствии другого.,Срочное установление биологического родства для одного из родителей при отсутствии другого (2 чел.)
246,Синонимы:Анализ ДНК для установления биологического родства для одного из родителей при отсутствии другого.,Установление биологического родства для одного из родителей при отсутствии другого (два человека)
247,"Синонимы:Анализ ДНК для установления биологического родства для дополнительного участника исследования (ребенок, или мать, или отец).",Дополнительный участник исследования (ребенок или мать или отец) (Additional research participant (child or mother or father))
248,"Синонимы:Комплексная токсикологическая оценка проб почвы. Soil: Comprehensive Toxicological Assessment.Определяемые параметры, единицы измерения",Почва: комплексная токсикологическая оценка
249,Синонимы:Биохимическое исследование для НЭШ-Фибротест; НэшТест.,"НЭШ-Фибротест, неинвазивная диагностика неалкогольного стеатогепатита и фиброза печени (NASH-FibroTest, non-invasive diagnosis of non-alcoholic steatohepatitis and liver fibrosis)"
250,Синонимы:Дисбиоз кишечника; Анализ кала на дисбактериоз.,"Дисбактериоз кишечника (Stool Culture, quantitative. Intestinal bacterial overgrowth)"
251,"Синонимы:Анализ кала на микробиоценоз; Колонофлор-16, микробиоценоз толстой кишки.","Оценка состояния микробиоты толстого кишечника методом ПЦР, тест-система КОЛОНОФЛОР-16 (метаболизм)"
252,"Синонимы:Анализ кала на микробиоценоз; Колонофлор-16, микробиоценоз толстой кишки.","Оценка состояния микробиоты толстого кишечника методом ПЦР, тест-система КОЛОНОФЛОР-16 (биоценоз)"
