,synonyms,analysis
594,"antibiotic resistance genes args, antimicrobal resistance, dna, real-time pcr, rt-pcr",бакрезиста выявление генов резистентности к гликопептидным и бета-лактамным антибиотикам у бактерий методом пцр
595,выявление условно-патогенных микроорганизмов методом пцр,бакскринупм выявление условно-патогенных микроорганизмов методом пцр в режиме реального времени bakskrin detection of conditionally pathogenic microorganisms by pcr in real time
596,водородный и метановый дыхательный тест с лактулозой h2-ch4-дыхательный тест с лактулозой,"водородно-метановый дыхательный тест с лактулозой, диагностика синдрома избыточного бактериального роста сибр hydrogen/methane breath test with lactulose, assessment of sibo"
597,"анализ мазка, окрашенного по граму","микроскопическое бактериоскопическое исследование мазка, окрашенного по граму gram stain bacterioscopic examination of different smears"
598,"lower respiratory tract culture, routine bacteria identification, antibiotic susceptibility extended testing sputum culture routine bacteria identification, antibiotic susceptibility extended testing",посев мокроты и трахеобронхиальных смывов на микрофлору с определением чувствительности к расширенному спектру антимикробных препаратов и  микроскопией мазка
599,"lower respiratory tract culture, routine bacteria identification, antibiotic susceptibility testing sputum culture routine bacteria identification, antibiotic susceptibility testing",посев мокроты и трахеобронхиальных смывов на микрофлору с определением чувствительности к антимикробным препаратам и микроскопией мазка
600,,посев пункционного материала на микрофлору и определение чувствительности к расширенному спектру антимикробных препаратов
601,,посев пункционного материала на микрофлору и определение чувствительности к антимикробным препаратам
602,"ear culture, routine bacteria identification antibiotic susceptibility and bacteriophage efficiency testing","посев отделяемого из уха на микрофлору, определение чувствительности к  антимикробным препаратам и бактериофагам ear culture, routine bacteria identification antibiotic susceptibility and bacteriophage efficiency testing"
603,"ear culture, routine bacteria identification antibiotic susceptibility, enlarged testing","посев отделяемого из уха на микрофлору и определение чувствительности  к расширенному спектру антимикробных препаратов  ear culture, routine bacteria identification antibiotic susceptibility, enlarged testing"
604,"ear culture, routine aerobic bacteria identification and antibiotic susceptibility testing","посев отделяемого из уха на микрофлору и определение чувствительности к антимикробным препаратам ear culture, routine aerobic bacteria identification and antibiotic susceptibility testing"
605,"genitourinary tract culture, routine antibiotic susceptibility and bacteriophage efficiency testing","посев отделяемого половых органов на микрофлору, определение чувствительности к антимикробным препаратам и бактериофагам"
606,"aerobic bacteria identification antibiotic susceptibility, enlarged testing","посев отделяемого половых органов на микрофлору и определение чувствительности к расширенному спектру антимикробных препаратов genitourinary tract culture, routine aerobic bacteria identification antibiotic susceptibility, enlarged testing"
607,"breast milk culture, routine aerobic bacteria identification antibiotic susceptibility and bacteriophage efficiency testing","посев грудного молока на микрофлору, определение чувствительности к антимикробным препаратам и бактериофагам"
608,"breast milk culture, routine aerobic bacteria identification antibiotic susceptibility, enlarged testing",посев грудного молока на микрофлору и определение чувствительности к расширенному спектру антимикробных препаратов
609,"breast milk culture, routine aerobic bacteria identification and antibiotic susceptibility",посев грудного молока на микрофлору и определение чувствительности к антимикробным препаратам
610,"breast milk culture, routine aerobic bacteria identification",посев грудного молока на микрофлору
611,,"посев раневого отделяемого и тканей на микрофлору, определение чувствительности к антимикробным препаратам и бактериофагам"
612,,посев раневого отделяемого и тканей на микрофлору и определение чувствительности к расширенному спектру антимикробных препаратов
613,"upper respiratory culture, routine aerobic bacteria identification and antibiotic susceptibility testing","посев отделяемого верхних дыхательных путей на микрофлору и определение чувствительности к антимикробным препаратам upper respiratory culture, routine aerobic bacteria identification and antibiotic susceptibility testing"
614,"upper respiratory tract culture, routine bacteria identification, antibiotic susceptibility extended testing","посев отделяемого верхних дыхательных путей на микрофлору и определение чувствительности к расширенному спектру антимикробных препаратов upper respiratory culture, routine  bacteria identification antibiotic susceptibility"
615,"genitourinary tract culture, routine aerobic bacteria identification antibiotic susceptibility testing","посев отделяемого половых органов на микрофлору, определение чувствительности к антимикробным препаратам"
616,"eye culture, routine bacteria identification antibiotic susceptibility and bacteriophage efficiency testing","посев отделяемого из глаза на микрофлору, определение чувствительности к антимикробным препаратам и бактериофагам"
617,"eye culture, routine aerobic bacteria identification antibiotic susceptibility, enlarged testing",посев отделяемого из глаза на микрофлору и определение чувствительности к расширенному спектру антимикробных препаратов
618,"eye culture, routine aerobic bacteria identification and antibiotic susceptibility testing",посев отделяемого из глаза на микрофлору и определение чувствительности к антимикробным препаратам
619,"urine culture, routine, quantitative aerobic bacteria identification antibiotic susceptibility and bacteriophage efficiency testing","посев мочи на микрофлору, определение чувствительности к антимикробным препаратам и бактериофагам urine culture, routine, quantitative aerobic bacteria identification antibiotic susceptibility and bacteriophage efficiency testing"
620,"urine culture, routine, quantitative aerobic bacteria identification antibiotic susceptibility, enlarged testing","посев мочи на микрофлору и определение чувствительности  к расширенному спектру антимикробных препаратов urine culture, routine, quantitative aerobic bacteria identification antibiotic susceptibility, enlarged testing"
621,"urine culture, routine, quantitative aerobic bacteria identification and antibiotic susceptibility testing","посев мочи на микрофлору и определение чувствительности к  антимикробным препаратам  urine culture, routine, quantitative aerobic bacteria identification and antibiotic susceptibility testing"
622,"upper respiratory culture,routine bacteria identification antibiotic susceptibility and bacteriophage efficiency testing","посев отделяемого верхних дыхательных путей на микрофлору, определение чувствительности к антимикробным препаратам и бактериофагам upper respiratory culture,routine bacteria identification antibiotic susceptibility and bacteriophage efficiency testing"
623,,посев раневого отделяемого и тканей на микрофлору и определение чувствительности к антимикробным препаратам
624,"анализ крови на сифилис неспецифический антифосфолипидный реагиновый тест, современный аналог реакции вассермана rw nontreponemal test rapid plasma reagin test syphilis screening test sts",rpr ­тест антикардиолипиновый тест rapid plasma reagin test
625,"анализ крови на сифилис суммарные антитела суммарные антитела к возбудителю сифилиса бледной трепонеме антитела к антигенам treponema pallidum igg/igm syphilis igm, igg treponema pallidum antibodies, total antibodies to t pallidum, igm/igg anti-treponema pallidum igg/igm","антитела классов igm и igg к антигенам бледной трепонемы, суммарно антитела igg, igm к антигенам treponema pallidum anti­treponema pallidum igg, igm, syphilis tp eia, total"
626,анализ крови на боррелии антитела igg к боррелиозу или болезни лайма антитела igg к боррелии igg антитела к возбудителю боррелиоза,антитела класса igg к borrelia burgdorferi
627,анализ крови на боррелии антитела igм к боррелиозу или болезни лайма антитела igм к боррелии igм антитела к возбудителю боррелиоза,антитела класса igm к borrelia burgdorferi
628,исследование клеща на риккетсиоз identification of tick-borne pathogens,лабораторное исследование клеща для выявления днк возбудителей клещевых риккетсиозов detection of pathogen dna in ticks: tick-borne rickettsioses
629,иксодовый клещ системный клещевой боррелиоз болезнь лайма иксодовый клещевой боррелиоз клещевой менингополиневрит клещевой боррелиоз иксодовый боррелиоз хроническая мигрирующая эритема эритемный спирохетоз синдром банноварта,лабораторное исследование клеща для выявления днк возбудителя боррелиоза болезни лайма
630,"гонококк, определение днк в моче возбудитель гонореи, моча","гонококк, определение днк neisseria gonorrhoeae, dna в моче"
631,"гонококк, определение днк в в соскобе эпителиальных клеток ротоглотки возбудитель гонореи, соскоб эпителиальных клеток ротоглотки","гонококк, определение днк neisseria gonorrhoeae, dna в соскобе эпителиальных клеток ротоглотки"
632,"гонококк, определение днк в сперме возбудитель гонореи, сперма","гонококк, определение днк neisseria gonorrhoeae, dna в секрете простаты, эякуляте"
633,"гонококк, определение днк в соскобе эпителиальных клеток урогенитального тракта возбудитель гонореи, соскоб эпителиальных клеток урогенитального тракта","гонококк, определение днк neisseria gonorrhoeae, dna в соскобе эпителиальных клеток урогенитального тракта"
634,neisseria gonorrhoeae culture bacteria identification and susceptibility,посев на гонококк n gonorrhoeae и определение чувствительности к антибиотикам
635,урогенитальный соскоб на гарднереллу,"гарднерелла, определение днк gardnerella vaginalis, dna в соскобе эпителиальных клеток урогенитального тракта"
636,анализ спермы и секрета простаты на туберкулез,"микобактерии туберкулеза, определение днк mycobacterium tuberculosis, dna в секрете простаты, эякуляте"
637,анализ мочи на туберкулез,"микобактерии туберкулеза, определение днк mycobacterium tuberculosis, dna в моче"
638,анализ менструальной крови на туберкулез,"микобактерии туберкулеза, определение днк mycobacterium tuberculosis, dna в менструальной крови"
639,анализ крови на туберкулез,"t-spottb – иммунодиагностика туберкулезной инфекции, тест высвобождения гамма-интерферона t-spottb – interferon-gamma release assays, igra"
640,анализ крови на туберкулез,"t-spottb – иммунодиагностика туберкулезной инфекции, тест высвобождения гамма-интерферона t-spottb – interferon-gamma release assays, igra"
641,анализ крови на туберкулез,"иммунодиагностика туберкулёзной инфекции интерфероновый тест, tb-feron igra"
642,хеликобактер пилори антиген анализ кала на хеликобактериоз,"хеликобактер пилори helicobacter pylori, антигенный тест helicobacter pylori one step rapid immunосhromotographic assay"
643,дыхательный тест с 13с-меченной мочевиной 13 ubt 13c-ubt,"13с-уреазный дыхательный тест 13с-удт, 13c-urea breath test, ubt выявление инфекции helicobacter pylori"
644,антитела iga к хеликобактеру антитела к хеликобактер пилори iga iga-антитела к helicobacter pylori,helicobacter pylori iga антитела класса igа к helicobacter pylori
645,"анализ крови на антитела igm к хеликобактеру хеликобактер пилори, иммуноглобулины м",helicobacter pylori igm антитела класса igm к helicobacter pylori
646,"анализ крови на igg антитела к хеликобактеру хеликобактер пилори, иммуноглобулины класса g, igg-антитела",anti-h pylori igg антитела класса igg к helicobacter pylori
647,посев на микоплазмоз с антибиотикограммой,посев на микоплазму хоминис  mycoplasma hominis и определение чувствительности к антимикробным препаратам
648,анализ мочи на микоплазму хоминис,"микоплазма, определение днк mycoplasma hominis, dna в моче"
649,"анализ секрета простаты, эякулята на микуоплазму хоминис","микоплазма, определение днк mycoplasma hominis, dna в секрете простаты, эякуляте"
650,соскоб эпителиальных клеток угт на микоплазму хоминис,"микоплазма, определение днк mycoplasma hominis, dna в соскобе эпителиальных клеток урогенитального тракта"
651,анализ урогенитального соскоба на днк микоплазмы микоплазмоз,"микоплазма, определение днк mycoplasma genitalium, dna в соскобе эпителиальных клеток урогенитального тракта"
652,"посев на уреаплазмы, определение чувствительности к антибиотикам",посев на уреаплазмы ureaplasma spp и определение чувствительности к антимикробным препаратам
653,анализ мочи на уреаплазму определение днк ureaplasma parvum в урогенитальном соскобе,"уреаплазма, определение днк ureaplasma parvum, dna в соскобе эпителиальных клеток урогенитального тракта"
654,анализ мочи на уреаплазму определение днк ureaplasma parvum в моче,"уреаплазма, определение днк ureaplasma parvum, dna в моче"
655,"определение днк уреаплазмы в урогенитальном соскобе днк уреаплазмы в урогенитальном соскобе, пцр","уреаплазма, определение днк ureaplasma urealyticum, dna в соскобе эпителиальных клеток урогенитального тракта"
656,"возбудитель уреаплазмоза, уреаплазма ureaplasma parvum, ureaplasma urealyticum, dna","уреаплазма, определение днк ureaplasma urealyticum+parvum, dna в соскобе эпителиальных клеток урогенитального тракта"
657,анализ крови на антитела класса igg к chlamydia trachomatis igg антитела к возбудителю хламидиоза,anti-chlamydia tr-igg антитела класса igg к chlamydia trachomatis
658,анализ спинномозговой жидкости на хламидии,"хламидии, определение днк chlamydia trachomatis, dna в спинномозговой жидкости"
659,"анализ секрета простаты, эякулятеа на хламидии","хламидии, определение днк chlamydia trachomatis, dna в секрете простаты, эякуляте"
660,"анализ урогенитального соскоба на днк хламидий хламидия, возбудитель хламидиоза хламидия трахоматис","хламидии, определение днк chlamydia trachomatis, dna в соскобе эпителиальных клеток урогенитального тракта"
661,анализ синовиальной жидкости на хламидии,"хламидии, определение днк chlamydia trachomatis, dna в синовиальной жидкости"
662,анализ соскоба со слизистой ротоглотки на хламидии,"хламидии, определение днк chlamydia trachomatis, dna в соскобе эпителиальных клеток ротоглотки"
663,анализ соскоба эпителиальных клеток слизистой прямой кишки на хламидии,"хламидии, определение днк chlamydia trachomatis, dna в соскобе эпителиальных клеток слизистой прямой кишки"
664,"хламидия, возбудитель хламидиоза хламидия трахоматис, днк, моча","хламидии, определение днк chlamydia trachomatis, dna в моче"
665,анализ соскоба со слизистой конъюнктивы на хламидии,"хламидии, определение днк chlamydia trachomatis, dna  в соскобе эпителиальных клеток конъюнктивы"
666,анализ выпота на хламидии,"хламидии, определение днк chlamydia trachomatis, dna в выпоте"
667,"урогенитальный мазок на антиген хламидии хламидия, антигенный тест","хламидия chlamydia trachomatis, антигенный тест, мазки из урогенитального тракта"
668,анализ крови на антитела к хламидофиле хламидия пневмонии igg,anti-chlamydophila pneumonia-igg антитела класса igg к chlamydophila pneumonia
669,посев на l monocyogenes и ач посев на листериоз,посев на листерии listeria monocytogenes с определением чувствительности к антимикробным препаратам listeria monocytogenes culture bacteria identification and antibiotic susceptibility testing
670,streptococcus group в s agalactiae culture antibiotic susceptibility testing,"посев на бета-гемолитический стрептококк группы в streptococcus group в, s agalactiae и определение чувствительности к антимикробным препаратам"
671,streptococcus group в s agalactiae culture,"посев на бета-гемолитический стрептококк группы в streptococcus group в, s agalactiae"
672,streptococcus group a s pyogenes culture antibiotic susceptibility testing,"посев на бета-гемолитический стрептококк группы а streptococcusgroup a, spyogenes и определение чувствительности к антимикробным препаратам"
673,streptococcus group a s pyogenes culture,"посев на бета-гемолитический стрептококк группы а streptococcus group a, spyogenes"
674,анализ крови на пневмококк определение днк streptococcus pneumoniae в плазме крови,"пневмококк, определение днк в плазме крови streptococcus pneumoniae, dna"
675,днк пневмококка в соскобе эпителиальных клеток ротоглотки,"пневмококк, определение днк в соскобе эпителиальных клеток ротоглотки streptococcus pneumoniae, dna"
676,анализ слюны на пневмококк днк пневмококка в слюне,"пневмококк, определение днк в слюне streptococcus pneumoniae, dna"
677,"анализ мочи на пневмококк s pneumoniae, антиген в моче","пневмококк streptococcus pneumoniae, антигенный тест, моча"
678,"менингококк, посев с определением чувствительности к антибиотикам микробиологическое исследование носоглоточной слизи на eisseria meningitidis с определением чувствительности к антимикробным препаратам",посев на менингококк neisseria meningitidis и определение чувствительности к антимикробным препаратам
679,staphylococcus aureus culture bacteria identification,посев на золотистый стафилококк staphylococcus aureus
680,"staphylococcus aureus culture bacteria identification antibiotic susceptibility, enlarged testing",посев на золотистый стафилококк s aureus и определение чувствительности к расширенному спектру антимикробных препаратов
681,staphylococcus aureus culture bacteria identification antibiotic susceptibility and bacteriophage efficiency testing,посев на золотистый стафилококк s aureus и определение чувствительности к антимикробным препаратам и бактериофагам
682,специфические иммуноглобулины класса igа к бактериям y pseudotuberculosis и y enterocolitica антитела к возбудителям псевдотуберкулеза и иерсиниоза yersinia pseudotuberculosis и yersinia enterocolitica iga антитела igа к иерсинеозу иерсиниоз антитела класса iga,"антитела класса iga к антигенам yersinia enterocolitica и yersinia pseudotuberculosis аnti-yersinia enterocolitica, аnti-yersinia pseudotuberculosis, iga"
683,специфические иммуноглобулины класса igg к бактериям y pseudotuberculosis и y enterocolitica антитела к возбудителям псевдотуберкулеза и иерсиниоза yersinia pseudotuberculosis и yersinia enterocolitica igg антитела igg к иерсинеозу иерсиниоз антитела класса igg,"антитела класса  igg к антигенам yersinia enterocolitica и yersinia pseudotuberculosis аnti-yersinia enterocolitica, аnti-yersinia pseudotuberculosis,  igg"
684,анализ крови на бруцеллез igа к бруцелле иммуноглобулины iga к антигенам brucella,"бруцелла-iga brucella, iga"
685,посев на дрожжевые и плесневые грибы,микробиологическое исследование отделяемого нижних дыхательных путей на грибы дрожжевые и мицелиальные fungus identification in lower respiratory specimen by culture
686,анализ крови на аспергеллез,антиген aspergillus галактоманнан в сыворотке крови aspergillus antigen galactomannan in serum
687,анализ на аспергеллез выявление галактоманнанового антигена aspergillus в бронхоальвеолярном лаваже,антиген aspergillus галактоманнан в бронхо-альвеолярном лаваже aspergillus antigen galactomannan in bronchoalveolar lavage
688,анализ кожи и ногтей на грибок грибковая инфекция ногтей и кожи,"микроскопическое исследование на патогенные грибы detection of pathogenic fungi, microscopic examination"
689,анализ кожи и ногтей на грибок грибковая инфекция ногтей и кожи,микроскопическое исследование и посев на патогенные грибы pathogenic fungi culture and microscopic examination
690,днк кандиды в соскобе эпителиальных клеток ротоглотки соскоб эпителиальных клеток ротоглотки на кандиду,"кандида, определение днк candida albicans, dna в соскобе эпителиальных клеток ротоглотки"
691,днк кандиды в соскобе клеток угт соскоб эпителиальных клеток угт на кандиду,"кандида, определение днк candida albicans, dna в соскобе эпителиальных клеток урогенитального тракта"
692,днк кандиды в выпоте анализ выпота на кандиду,"кандида, определение днк candida albicans, dna в выпоте"
693,днк кандиды в соскобе эпителиальных клеток кожи соскоб эпителиальных клеток кожи на кандиду,"кандида, определение днк candida albicans, dna в соскобе эпителиальных клеток кожи"
694,днк кандиды в моче анализ мочи на кандиду,"кандида, определение днк candida albicans, dna в моче"
695,днк кандиды в соскобе эпителиальных клеток слизистой прямой кишки соскоб эпителиальных клеток слизистой прямой кишки на кандиду,"кандида, определение днк candida albicans, dna в соскобе эпителиальных клеток слизистой прямой кишки"
696,"днк кандиды в секрете простаты, эякуляте анализ секрета простаты, эякулята на кандиду","кандида, определение днк candida albicans, dna в секрете простаты, эякуляте"
697,днк кандиды в слюне анализ слюны на кандиду,"кандида, определение днк candida albicans, dna в слюне"
698,анализа фекалий на простейших,анализ кала на простейшие pro stool
699,анализ кала на простейших,"скрининговое исследование на выявление возбудителей кишечных паразитозов лямблиоза, амебиаза, бластоцистной инвазии, криптоспоридиоза, изоспороза методом пцр, тест-система прото-скрин screening  of intestinal parasitoses proto-screen assay"
700,анализ крови на лямблии суммарные антитела к возбудителю лямблиоза ат общие к аг лямблий,"антитела к антигенам лямблий суммарные iga, igm, igg анти-lamblia intestinalis iga, igm, igg суммарные; anti-giardia lamblia iga, igm, igg total"
701,антиген возбудителя лямблиоза анализ кала на антигены лямблий,"лямблии giardia liamblia, диарейный синдром, антигенный тест giardia liamblia one step rapid immunосhromotographic assay"
702,анализ крови на антитела к токсоплазме igg антитела к токсоплазме гондии токсоплазмоз igg,anti-toxo-igg антитела класса igg к тoxoplasma gondii
703,анализ крови на антитела к токсоплазме igm антитела к токсоплазме токсоплазмоз igm,anti-toxo-igm антитела класса igm к тoxoplasma gondii
704,"анализ выпота на токсоплазму токсоплазмоз, днк возбудителя в выпоте","токсоплазма, определение днк toxoplasma gondii, dna в выпоте"
705,"анализ сыворотки крови на токсоплазму токсоплазмоз, днк возбудителя в сыворотке крови","токсоплазма, определение днк toxoplasma gondii, dna в сыворотке крови"
706,"анализ спинномозговой жидкости на токсоплазму токсоплазмоз, днквозбудителяв спинномозговой жидкости","токсоплазма, определение днк toxoplasma gondii, dna в спинномозговой жидкости"
707,"определение днк трихомонады в урогенитальном соскобе днк трихомонады в урогенитальном соскобе, пцр","трихомонада, определение днк trichomonas vaginalis, dna в соскобе эпителиальных клеток урогенитального тракта"
708,кал на яйца глист анализ кала на яйца глистов ova and parasite exam o&p stool o & p test,"анализ кала на яйца гельминтов яйца глистов, helminth eggs"
709,анализ кала на гельминтов методом пцр,"скрининговое пцр-исследование возбудителей гельминтозов энтеробиоза, аскаридоза, дифиллоботриоза, описторхоза, тениоза, тест-система гельмо-скрин screening pcr of pathogens of helminthiasis  gelmo-screen assay"
710,анализ крови на анизакидоз анти-anisakis-igg антитела класса g к анизакиде,"антитела к возбудителю анизакидоза нематодам рода anisakis, igg anisakis, igg"
711,анализ крови на клонорхоз,"антитела к возбудителю клонорхоза, igg clonorchis sinensis, igg"
712,enterobius vermicularis oхуuris vermicularis enterobiosis oxyuriasis,"анализ на энтеробиоз яйца остриц, enterobiasis, шпатель"
713,"анализ крови на антитела к аскариде аскарида ascaris lumbricoides, антитела igg",антитела к аскаридам igg anti-ascaris lumbricoides igg
714,анализ крови на антитела к токсокарам igg антитела к антигенам токсокар,антитела класса igg к антигенам токсокар anti-toxocara igg
715,анализа крови на описторха антиописторхис-igg антитела класса g к антигенам кошачьей двуустки igg антитела к возбудителю описторхоза анти-описторхис-igg,"anti-opisthorchis felineus igg антитела класса igg к антигенам кошачьей двуустки, opisthorchis felineus"
716,анализ крови на антитела к эхинококку,"анти-эхинококк-igg антитела класса igg к антигенам эхинококка, anti-e granulosus"
717,жидкостная цитология таб щитовидной железы с описанием по системе бетесда bethesda system for reporting thyroid cytopathology 2017,"цитологическое исследование пунктатов щитовидной железы с описанием по терминологической классификации бетесда the bethesda system 2017 tbs for reporting thyroid cytopathology tbsrtc, fine-needle aspiration fna"
718,"жидкостная цитология биоматериала шейки матки окрашивание по папаниколау, технология thinprep®",жидкостная цитология цитологическое исследование биоматериала шейки матки окрашивание по папаниколау
719,патолого-анатомическое исследование биопсийного операционного материала,патологоанатомическое исследование операционного материала более 6 парафиновых блоков pathology examination of surgical material more than 6 parafin embeddeid tissue blocks
720,"морфологическое исследование для верификации хронических заболеваний верхнего отдела жкт morphological, histological and histochemical analysis of digestive tract","комплексная гистохимическая диагностика заболеваний верхних отделов жкт пищевода, желудка, двенадцатиперстной кишки complex morphological and histochemical assessment of diseases upper digestive system"
721,histochemical study of biopsy and surgical material,гистохимическое исследование биопсийного и операционного материала histochemical study of biopsy and surgical material
722,"молекулярно-генетическое исследование патоморфологического материала щитовидной железы kras, nras, hras, tert, braf mutations of kras, nras, hras, braf, tert genes, thyroid surgical material","молекулярно-генетическое исследование операционного материала щитовидной железы для определения мутаций генов kras, nras, hras, braf, tert molecular genetic study of thyroid surgical material to determine mutations of kras, nras, hras, braf, tert genes"
723,молекулярно‑генетическое исследование и консультативный просмотр цитологического материала щитовидной железы,консультативный просмотр и молекулярно-генетическое исследование щитовидной железы
724,мультифокальная биопсия простаты,мультифокальная биопсия предстательной железы pg prostate gland multifocal biopsy
725,скрининговое исследование абортивного материала,"комплексное исследование абортивного материала, скрининг study of miscarriage tissues, screening"
726,расширенное исследование абортивного материала,"комплексное исследование абортивного материала, расширенное comprehensive study of miscarriage tissues"
727,патолого-анатомическое исследование биопсийного операционного материала,патологоанатомическое исследование операционного материала до 6 парафиновых блоков pathology examination of surgical material up to 6 parafin embeddeid tissue blocks
728,"молекулярно-генетическое исследование мутаций в генах braf, nras","молекулярно-генетическое исследование при меланоме braf, nras complex detection of mutations in melanoma braf, nras"
729,"молекулярно-генетическое исследование мутаций в генах c-kit, pdgfra","молекулярно-генетическое исследование при gist-опухолях c-kit, pdgfra complex detection of mutations in gist c-kit, pdgfra"
730,молекулярно-генетическое исследование гена her2,"молекулярно-генетическое исследование при раке желудка her2 амплификация, msi complex detection of mutations in gastric cancer her2, msi"
731,"молекулярно-генетическое исследование мутаций в генах braf, kras, nras","молекулярно-генетическое исследование при колоректальном раке msi, braf, kras, nras complex detection of mutations in colorectal cancer msi, braf, kras, nras"
732,молекулярно-генетическое исследование копийности генов при рмж,"молекулярно-генетическое исследование копийности генов при раке молочной железы 19 генов complex detection of duplications and deletions of gene in breast cancer her2, top2a, myd, esr etc"
733,молекулярно-генетическое исследование мутаций в гене pole,"молекулярно-генетическое исследование при раке тела матки pole, msi complex detection of mutations in endometrial cancer pole, msi"
734,"молекулярно-генетическое исследование генов eml4-alk, ros1, met","выявление транслокаций eml4-alk, ros1 и мутаций в гене met detection of alk, ros1 translocations and mutations in met gene"
735,"исследование потери гетерозиготности генов pten, rb1, tp53, brca1/2","комплексное обследование потери гетерозиготности гены pten, rb1, tp53, brca1/2 detection of deletions nad duplications pten, rb1, tp53, brca½ in prostate cancer"
736,"analysis of relative expression of bcr/abl p190 gene, quantitative rq pcr real time pcr rq-pcr for bcr-abl","анализ относительной экспрессии гена bcr/abl p190, количественная rq пцр в реальном времени pcr analysis of the relative expression of the bcr/abl p190 gene – quantitative rq pcr real time"
737,определение мутационного статуса генов вариабельных участков иммуноглобулинов пцр анализ мутационного статуса генов вариабельных участков иммуноглобулинов ighv,"мутационный статус генов вариабельных участков иммуноглобулинов ighv, пцр ighv mutational status, pcr"
738,"гены hrr, hrr-тестирование","определение мутаций в генах brca1, brca2, atm, chek2 методом секвенирования следующего поколения ngs в биопсийном материале и крови brca1, brca2, atm, chek2 genes analysis by next-generation sequencing ngs in biopsy specimens and blood"
739,"молекулярно-генетическое исследование мутаций в генах egfr, kras, braf, her2","молекулярно-генетическое исследование рака легкого мутации в генах egfr, kras, braf, her2 complex detection of mutations in lung cancer egfr, kras, braf, her2"
740,determination of lp/19q translocation analysis for lp and 19q status,определение транслокации lp/19q 1p/19q translocation
